---I20942	Nasonia vitripennis
I20943	Trichogramma pretiosum
I20945	Brachymeria minuta
I20946	Trissolcus semistriatus
I20947	Trichopria cf. drosophilae
I20948	Ormyrus sp.
I20949	Gonatocerus triguttatus
I20950	Inostemma sp.
---I20951	Gonatocerus morrilli
I20952	Metaphycus flavus
I20953	Gonatocerus morgani
I20954	Diglyphus isaea
---I20955	Aphelinus abdominalis
---I20956	Trichogramma evanescens
I20957	Courtella sp.
I20958	Leptopilina clavipes
I20959	Perilampus aeneus
I20960	Podagrion pachymerum
I20961	Tanaostigmodes howardii
I20962	Ibalia leucospoides ensiger
*I20963	Orasema simulatrix
I20964	Encarsia formosa
I20965	Lariophagus distinguendus
I20966	Spalangia cameroni
I20967	Synergus umbraculus
I20968	Lachaisea equicollis
*I20969	Sycophila biguttata
I20970	Philotrypesis parca
I20971	Otitesella tsamvi
I20972	Philocaenus barbarus
I20973	Elisabethiella stueckenbergi
I20974	Telenomus sp.
I20975	Bootanomyia dorsalis
I20976	Leptomastix dactylopii
I20977	Pelecinus polyturator
I20978	Theocolax elegans
I20979	Eupelmus urozonus
*I20980	Eurytoma brunniventris
I20981	Leucospis dorsigera
I20982	Pediaspis aceris
I20983	Torymus bedeguaris
I20984	Pachycrepoideus vindemmiae
I20985	Andricus quercuscalicis
---I20986	Tamarixia radiata
I20987	Brasema neomexicana
I20988	Elasmus sp.
I20989	Brachyserphus parvulus
*I20990	Eucharis adscendens
I20991	Oodera sp.

